Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-06-24,39.0,40.25,38.3,39.0,38.85,40141.0,15.97
2015-06-25,40.2,40.2,38.85,40.0,40.0,50541.0,20.19
2015-06-26,40.2,40.75,39.55,39.75,39.8,36559.0,14.6
2015-06-29,39.5,39.7,38.5,38.6,38.85,21984.0,8.58
2015-06-30,39.85,43.8,38.9,42.6,42.95,125223.0,52.46
2015-07-01,43.7,50.85,43.7,45.9,45.75,316436.0,149.07
2015-07-02,46.75,48.0,45.45,46.25,46.6,72978.0,33.83
2015-07-03,46.8,48.0,46.0,46.0,46.15,34913.0,16.3
2015-07-06,45.2,53.3,44.5,51.9,52.25,1078106.0,534.4
2015-07-07,52.95,53.75,48.15,48.9,48.9,314041.0,158.92
2015-07-08,48.0,53.0,46.4,51.45,51.75,567031.0,286.92
2015-07-09,52.4,55.4,50.5,53.0,52.7,356826.0,189.9
2015-07-10,53.0,55.0,51.7,52.35,52.4,124690.0,66.47
2015-07-13,53.0,53.0,50.0,50.7,50.7,98828.0,50.71
2015-07-14,51.45,51.75,47.9,49.7,50.1,145745.0,72.82
2015-07-15,50.1,51.0,49.5,49.7,49.75,74987.0,37.54
2015-07-16,49.75,51.25,49.0,50.0,50.05,78345.0,39.07
2015-07-17,49.15,51.0,49.15,50.2,50.0,79328.0,39.76
2015-07-20,50.0,53.8,50.0,51.5,51.65,296575.0,154.6
2015-07-21,51.75,55.2,50.8,51.35,51.65,1483269.0,792.65
2015-07-22,50.7,52.85,50.7,51.5,51.3,85526.0,44.54
2015-07-23,51.3,53.0,50.8,51.25,51.15,53352.0,27.6
2015-07-24,51.15,51.9,50.05,51.0,50.65,51335.0,26.11
2015-07-27,51.0,51.65,49.1,50.0,49.6,57866.0,29.05
2015-07-28,49.6,51.0,49.3,49.5,49.65,50463.0,25.26
2015-07-29,49.7,54.45,49.7,54.0,53.8,313890.0,164.77
2015-07-30,54.85,62.0,53.1,60.0,61.1,1701888.0,1016.55
2015-07-31,61.1,63.4,59.1,62.2,61.9,425117.0,262.5
2015-08-03,61.9,71.9,61.9,70.45,69.95,954283.0,658.2
2015-08-04,71.0,73.5,70.55,72.4,71.95,535942.0,386.48
2015-08-05,73.4,79.1,73.4,77.2,77.5,1048059.0,809.83
2015-08-06,78.3,79.25,70.15,70.5,71.1,565551.0,413.94
2015-08-07,73.65,75.9,67.8,70.5,69.95,486761.0,345.94
2015-08-10,70.0,71.25,68.0,68.5,68.4,246122.0,171.68
2015-08-11,68.9,74.4,67.85,71.5,70.75,557876.0,398.86
2015-08-12,71.15,73.4,63.7,65.0,66.05,378611.0,257.7
2015-08-13,64.0,65.0,59.45,59.45,59.45,575282.0,348.27
2015-08-14,58.0,59.1,54.15,56.95,56.9,586113.0,329.65
2015-08-17,56.9,59.7,53.7,57.85,57.45,151722.0,86.72
2015-08-18,58.3,59.5,55.0,56.15,56.05,166773.0,94.03
2015-08-19,56.5,58.85,55.15,58.85,58.85,199767.0,114.96
2015-08-20,60.9,61.75,58.1,59.75,59.65,414893.0,253.28
2015-08-21,57.95,58.0,56.7,57.0,57.05,97819.0,55.82
2015-08-24,54.25,54.95,54.2,54.2,54.2,19844.0,10.76
2015-08-25,51.5,52.95,51.5,51.5,51.5,134271.0,69.19
2015-08-26,51.0,51.9,48.95,48.95,49.05,238373.0,118.72
2015-08-27,49.0,51.5,49.0,51.5,51.5,175788.0,89.36
2015-08-28,53.25,54.05,52.5,54.05,54.05,144117.0,77.78
2015-08-31,55.0,55.9,53.0,55.9,54.85,68518.0,37.17
