Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-02-23,246.05,249.95,235.15,243.0,242.75,7038.0,17.19
2015-02-24,245.0,247.9,231.1,243.0,243.1,13749.0,33.56
2015-02-25,245.0,245.0,231.2,233.15,233.35,6279.0,14.9
2015-02-26,232.0,233.15,222.0,222.55,223.05,5495.0,12.46
2015-02-27,233.8,240.0,224.0,225.0,225.85,39437.0,91.14
2015-02-28,225.85,238.0,220.1,225.0,225.3,12580.0,28.36
2015-03-02,229.9,230.0,221.25,225.0,225.35,12912.0,29.26
2015-03-03,222.0,229.95,222.0,225.5,226.4,14797.0,33.6
2015-03-04,222.1,234.7,222.1,226.5,225.3,24921.0,56.74
2015-03-05,229.5,229.5,222.0,224.0,224.65,21095.0,47.48
2015-03-09,229.0,229.0,222.0,222.15,225.7,15919.0,35.8
2015-03-10,225.7,226.5,220.05,225.0,224.8,15681.0,35.27
2015-03-11,224.8,228.85,216.0,217.0,219.1,38218.0,85.64
2015-03-12,219.5,248.9,219.5,238.0,238.0,87800.0,209.64
2015-03-13,241.0,246.0,226.0,226.0,227.1,46677.0,108.77
2015-03-16,223.15,232.9,218.0,218.0,220.1,19645.0,43.49
2015-03-17,216.5,227.0,216.0,216.5,217.5,25183.0,55.46
2015-03-18,220.5,223.7,215.1,218.9,217.75,10535.0,23.08
2015-03-19,215.05,225.0,215.05,219.25,221.05,13538.0,29.93
2015-03-20,220.0,225.0,214.0,216.0,219.45,16690.0,36.32
2015-03-23,224.5,229.9,216.1,218.0,217.1,18770.0,41.37
2015-03-24,221.0,222.5,207.0,214.95,209.05,14007.0,29.6
2015-03-25,210.15,212.95,201.2,205.0,205.7,11401.0,23.58
2015-03-26,204.3,212.65,204.0,212.55,210.25,16024.0,33.63
2015-03-27,212.95,212.95,201.5,202.0,204.0,44006.0,89.68
2015-03-30,204.5,215.0,204.0,212.7,211.55,15458.0,32.56
2015-03-31,212.85,215.0,207.0,215.0,211.95,10236.0,21.58
2015-04-01,214.95,216.45,211.2,215.0,213.65,9363.0,19.96
2015-04-06,221.95,226.7,212.6,224.15,224.25,25384.0,55.79
2015-04-07,218.25,239.3,218.25,231.0,235.05,36352.0,84.51
2015-04-08,235.0,248.5,232.05,240.05,241.4,53388.0,129.86
2015-04-09,242.0,247.7,235.1,239.25,238.9,13729.0,33.21
2015-04-10,238.0,239.0,231.95,233.0,232.2,11768.0,27.5
2015-04-13,232.6,237.0,220.0,227.35,228.35,19856.0,45.78
2015-04-15,229.9,230.05,224.95,229.0,227.9,11269.0,25.63
2015-04-16,226.0,232.95,225.1,225.8,226.5,10535.0,23.93
2015-04-17,225.0,229.95,224.0,229.9,229.05,18000.0,41.02
2015-04-20,226.0,232.4,222.0,225.2,225.15,14912.0,33.64
2015-04-21,223.0,228.95,218.1,221.45,221.45,38326.0,86.57
2015-04-22,219.0,224.0,212.1,214.5,214.15,14706.0,31.84
2015-04-23,228.0,228.0,217.0,218.1,218.3,11700.0,25.66
2015-04-24,217.85,217.95,210.1,215.4,211.15,11411.0,24.22
2015-04-27,209.0,211.15,196.0,199.95,200.15,9390.0,18.97
2015-04-28,201.0,208.0,195.0,208.0,202.7,17679.0,35.65
2015-04-29,214.7,226.0,203.0,204.1,206.1,7446.0,15.49
2015-04-30,209.95,209.95,196.6,202.5,202.9,11200.0,22.7
2015-05-04,207.0,207.0,201.4,202.0,202.45,9762.0,19.97
2015-05-05,203.0,208.5,198.3,202.95,201.65,14263.0,28.93
2015-05-06,207.5,207.5,190.65,196.0,196.25,24594.0,48.98
2015-05-07,192.0,196.9,181.65,182.05,184.55,29722.0,56.61
2015-05-08,190.0,204.95,182.2,198.0,198.3,12877.0,25.44
2015-05-11,202.5,205.0,198.0,198.05,200.05,6599.0,13.25
2015-05-12,200.1,203.9,189.0,190.0,190.3,8681.0,16.72
2015-05-13,192.2,200.0,185.1,196.0,196.55,20348.0,38.99
2015-05-14,197.0,198.0,190.2,198.0,196.75,8311.0,16.21
2015-05-15,197.0,207.0,197.0,207.0,205.4,21553.0,43.82
2015-05-18,206.2,212.0,206.2,210.0,210.25,31989.0,66.83
2015-05-19,210.6,214.3,197.55,199.0,203.4,43890.0,89.98
2015-05-20,209.8,210.3,191.35,198.5,196.9,31026.0,61.79
2015-05-21,199.05,202.0,195.25,198.5,197.75,6830.0,13.51
2015-05-22,196.3,199.95,192.1,192.1,193.4,6182.0,12.09
2015-05-25,194.25,194.25,186.1,187.95,189.05,9198.0,17.51
2015-05-26,189.0,191.55,183.0,186.0,188.95,17259.0,32.16
2015-05-27,185.15,186.0,178.0,182.2,181.85,19236.0,35.23
2015-05-28,189.4,189.4,170.15,179.0,178.8,21888.0,39.13
