Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2014-04-28,344.95,344.95,315.05,315.05,315.05,20.0,0.07
2014-04-29,320.0,343.75,320.0,327.0,327.0,42.0,0.14
2014-04-30,327.0,327.0,327.0,327.0,327.0,15.0,0.05
2014-05-02,275.15,346.8,275.15,325.45,325.45,306.0,0.97
2014-05-05,330.0,330.0,325.0,325.0,325.0,3704.0,12.22
2014-05-06,330.0,346.0,325.0,346.0,341.25,1747.0,5.88
2014-05-07,336.0,343.0,336.0,340.0,340.45,1641.0,5.58
2014-05-08,322.0,339.0,320.0,335.0,335.0,910.0,3.04
2014-05-09,335.0,340.0,333.0,340.0,338.6,1120.0,3.76
2014-05-12,290.0,330.0,290.0,312.25,312.8,594.0,1.87
2014-05-13,329.0,329.0,311.5,314.0,319.7,242.0,0.77
2014-05-14,319.9,320.0,317.0,317.0,319.2,330.0,1.06
2014-05-15,310.0,320.0,301.5,316.5,316.5,2280.0,7.2
2014-05-16,285.15,319.85,285.15,302.15,301.7,1615.0,4.78
2014-05-19,310.0,315.0,310.0,315.0,315.0,98.0,0.31
2014-05-20,320.0,340.0,313.9,325.0,320.35,757.0,2.42
2014-05-21,330.0,330.0,311.0,330.0,324.45,1060.0,3.4
2014-05-22,335.0,335.0,329.95,330.0,330.0,997.0,3.29
2014-05-23,316.5,322.0,316.5,322.0,322.0,2.0,0.01
2014-05-26,322.0,328.5,316.0,328.5,322.85,163.0,0.53
2014-05-27,315.0,322.0,303.05,322.0,318.45,490.0,1.51
2014-05-28,319.95,320.0,308.05,319.95,318.8,1212.0,3.85
2014-05-29,300.1,320.0,295.05,315.0,309.3,8975.0,27.45
2014-05-30,320.0,320.0,295.0,295.0,295.0,76257.0,225.04
2014-06-02,295.0,300.0,290.6,295.0,293.8,6413.0,19.15
2014-06-03,295.0,295.0,288.0,295.0,290.5,1314.0,3.83
2014-06-04,300.0,300.0,294.0,294.0,294.0,1698.0,5.01
2014-06-05,296.0,296.0,285.0,290.0,287.35,2700.0,7.78
2014-06-06,319.0,319.0,285.0,300.0,304.1,8117.0,23.91
2014-06-09,333.9,355.8,305.0,320.0,319.6,10367.0,32.88
2014-06-10,320.0,327.0,309.0,321.0,321.05,3705.0,11.68
2014-06-11,310.1,329.95,310.1,321.0,317.15,1247.0,3.98
2014-06-12,312.05,329.45,309.25,309.25,310.75,1313.0,4.1
2014-06-13,311.0,321.75,310.0,310.0,310.0,1093.0,3.43
2014-06-16,301.95,309.0,301.95,309.0,308.4,59.0,0.18
