Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-04-16,9.65,14.0,9.65,10.3,10.0,17530.0,1.77
2015-04-17,8.4,12.0,8.4,10.95,10.45,32830.0,3.58
2015-04-20,10.3,10.3,8.4,8.85,8.7,31698.0,2.78
2015-04-21,8.7,8.7,7.85,8.35,8.35,6529.0,0.54
2015-04-22,8.35,8.95,7.55,8.1,8.0,16915.0,1.44
2015-04-23,7.8,8.0,7.3,7.4,7.45,10889.0,0.83
2015-04-24,7.45,7.45,6.75,7.05,7.1,14135.0,0.99
2015-04-27,7.05,7.05,6.4,6.4,6.4,6865.0,0.45
2015-04-28,6.1,6.7,6.1,6.35,6.35,11232.0,0.72
2015-04-29,6.55,6.65,6.35,6.5,6.6,16035.0,1.06
2015-04-30,6.4,6.9,6.4,6.9,6.9,11783.0,0.78
2015-05-04,6.7,7.2,6.7,6.8,6.8,2964.0,0.21
2015-05-05,6.6,7.1,6.6,6.7,7.05,1308.0,0.09
2015-05-06,6.8,7.3,6.7,6.7,6.7,4722.0,0.32
2015-05-07,6.85,6.85,6.4,6.4,6.4,4132.0,0.27
2015-05-08,6.15,6.5,6.1,6.1,6.15,6595.0,0.41
2015-05-11,6.4,6.45,5.85,5.95,5.95,9119.0,0.54
2015-05-12,5.8,6.0,5.7,5.95,5.95,12207.0,0.7
2015-05-13,6.15,6.2,5.7,5.7,5.7,8842.0,0.51
2015-05-14,5.7,5.75,5.45,5.45,5.45,4435.0,0.25
2015-05-15,5.25,5.25,5.2,5.2,5.2,5938.0,0.31
2015-05-18,4.95,4.95,4.95,4.95,4.95,10001.0,0.5
2015-05-19,4.85,5.1,4.75,4.75,4.95,853.0,0.04
2015-05-20,4.9,4.9,4.75,4.75,4.75,24833.0,1.21
2015-05-21,4.6,4.95,4.55,4.55,4.55,2461.0,0.11
2015-05-22,4.35,4.55,4.35,4.35,4.35,12628.0,0.55
2015-05-25,4.15,4.15,4.15,4.15,4.15,3981.0,0.17
2015-05-26,4.15,4.2,3.95,4.15,4.15,1860.0,0.08
2015-05-27,4.15,4.15,3.95,4.0,4.0,3014.0,0.12
2015-05-28,3.8,4.0,3.8,3.95,3.95,205.0,0.01
2015-05-29,4.0,4.0,3.8,3.8,3.8,1478.0,0.06
2015-06-01,3.9,3.95,3.65,3.95,3.95,10421.0,0.41
2015-06-02,3.95,4.1,3.95,3.95,3.95,285.0,0.01
2015-06-03,3.95,3.95,3.8,3.8,3.8,2050.0,0.08
2015-06-04,3.7,3.75,3.65,3.65,3.65,2650.0,0.1
2015-06-05,3.8,3.8,3.6,3.8,3.8,1609.0,0.06
2015-06-08,3.75,3.95,3.65,3.65,3.65,1401.0,0.05
2015-06-10,3.75,3.8,3.75,3.8,3.8,960.0,0.04
2015-06-11,3.7,3.9,3.7,3.9,3.9,1415.0,0.05
2015-06-12,3.75,3.75,3.75,3.75,3.75,103.0,0.0
2015-06-15,3.6,3.9,3.6,3.9,3.9,438.0,0.02
2015-06-16,3.75,3.9,3.75,3.75,3.75,839.0,0.03
2015-06-17,3.6,3.8,3.6,3.6,3.6,6820.0,0.25
2015-06-18,3.5,3.75,3.45,3.45,3.45,1077.0,0.04
2015-06-19,3.4,3.6,3.3,3.3,3.3,15919.0,0.53
2015-06-22,3.2,3.45,3.15,3.45,3.45,1489.0,0.05
2015-06-23,3.3,3.55,3.3,3.3,3.3,4323.0,0.14
2015-06-24,3.4,3.4,3.15,3.25,3.15,7802.0,0.25
2015-06-25,3.25,3.3,3.0,3.25,3.25,25198.0,0.77
2015-06-26,3.1,3.3,3.1,3.1,3.1,6544.0,0.2
2015-06-29,2.95,2.95,2.95,2.95,2.95,3940.0,0.12
2015-06-30,3.0,3.0,2.85,2.85,2.85,9307.0,0.27
2015-07-01,2.95,2.95,2.75,2.75,2.75,5477.0,0.16
2015-07-02,2.85,2.85,2.65,2.65,2.65,7062.0,0.19
2015-07-03,2.65,2.75,2.55,2.55,2.55,33368.0,0.88
2015-07-06,2.65,2.65,2.45,2.45,2.45,7868.0,0.2
2015-07-07,2.35,2.55,2.35,2.55,2.55,68856.0,1.7
2015-07-08,2.65,2.65,2.55,2.65,2.65,56548.0,1.49
2015-07-09,2.75,2.75,2.6,2.75,2.75,67465.0,1.85
2015-07-10,2.85,2.85,2.85,2.85,2.85,16670.0,0.48
2015-07-13,2.95,2.95,2.95,2.95,2.95,1372.0,0.04
2015-07-14,3.05,3.05,3.05,3.05,3.05,1.0,0.0
2015-07-15,3.2,3.2,3.2,3.2,3.2,1669.0,0.05
2015-07-16,3.35,3.35,3.35,3.35,3.35,3960.0,0.13
2015-07-17,3.5,3.5,3.2,3.5,3.5,21182.0,0.74
2015-07-20,3.65,3.65,3.65,3.65,3.65,11902.0,0.43
2015-07-21,3.8,3.8,3.8,3.8,3.8,7563.0,0.29
2015-07-22,3.95,3.95,3.95,3.95,3.95,7847.0,0.31
2015-07-23,4.0,4.1,4.0,4.1,4.1,1713.0,0.07
2015-07-24,4.3,4.3,4.15,4.15,4.15,7482.0,0.32
2015-07-27,3.95,3.95,3.95,3.95,3.95,6562.0,0.26
2015-07-28,3.8,4.1,3.8,3.8,3.8,5684.0,0.22
2015-07-29,3.7,3.95,3.7,3.95,3.95,2590.0,0.1
2015-07-30,4.1,4.1,3.85,3.85,3.85,3386.0,0.14
2015-07-31,4.0,4.0,4.0,4.0,4.0,950.0,0.04
2015-08-03,4.0,4.0,4.0,4.0,4.0,691.0,0.03
2015-08-04,3.8,4.2,3.8,3.8,3.85,1600.0,0.06
2015-08-05,3.7,4.0,3.7,3.95,3.75,5343.0,0.2
2015-08-06,3.8,3.8,3.6,3.7,3.7,2871.0,0.11
2015-08-07,3.7,3.7,3.55,3.55,3.55,2660.0,0.1
2015-08-10,3.4,3.7,3.4,3.4,3.4,991.0,0.03
