Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2014-11-20,3.8,3.9,3.6,3.7,3.75,850967.0,32.13
2014-11-21,3.75,4.0,3.7,3.8,3.8,954130.0,36.82
2014-11-24,3.75,3.95,3.75,3.75,3.75,756367.0,28.78
2014-11-25,3.75,3.85,3.45,3.55,3.55,1268616.0,45.44
2014-11-26,3.6,3.75,3.4,3.55,3.55,592838.0,20.9
2014-11-27,3.6,3.65,3.45,3.55,3.5,281337.0,9.99
2014-11-28,3.6,3.65,3.45,3.5,3.5,619052.0,21.87
2014-12-01,3.5,3.5,3.35,3.5,3.5,588387.0,20.3
2014-12-02,3.5,3.6,3.35,3.6,3.5,713340.0,24.48
2014-12-03,3.45,3.65,3.45,3.55,3.55,680918.0,24.13
2014-12-04,3.55,3.7,3.5,3.55,3.55,530003.0,18.95
2014-12-05,3.55,3.6,3.4,3.45,3.45,939176.0,33.03
2014-12-08,3.45,3.6,3.25,3.3,3.3,1536312.0,52.85
2014-12-09,3.3,3.35,3.2,3.25,3.25,595006.0,19.34
2014-12-10,3.3,3.9,3.2,3.55,3.6,1306901.0,44.95
2014-12-11,3.5,3.75,3.45,3.5,3.5,601211.0,21.17
2014-12-12,3.5,3.55,3.3,3.35,3.35,272451.0,9.34
2014-12-15,3.4,3.45,3.25,3.3,3.3,151260.0,5.04
2014-12-16,3.3,3.35,3.0,3.05,3.1,726418.0,22.83
2014-12-17,3.1,3.15,2.9,3.0,3.0,793332.0,23.76
2014-12-18,3.05,3.4,3.05,3.2,3.15,602753.0,19.48
2014-12-19,3.25,3.3,3.15,3.15,3.2,568123.0,18.3
2014-12-22,3.2,3.25,3.1,3.2,3.2,206358.0,6.58
2014-12-23,3.35,3.35,3.05,3.05,3.1,213270.0,6.74
2014-12-24,3.05,3.1,2.95,3.05,3.0,482283.0,14.63
2014-12-26,3.0,3.05,2.95,3.0,3.0,237158.0,7.14
2014-12-29,3.05,3.05,2.85,3.0,2.95,550420.0,16.29
2014-12-30,2.9,3.0,2.9,2.95,2.95,131179.0,3.88
2014-12-31,2.9,3.0,2.9,2.95,3.0,452617.0,13.48
2015-01-01,2.95,3.05,2.95,2.95,3.0,561271.0,16.81
2015-01-02,3.0,3.15,3.0,3.1,3.1,1355396.0,41.65
2015-01-05,3.1,3.2,3.0,3.1,3.05,672692.0,20.79
2015-01-06,3.0,3.05,2.9,2.95,2.9,358712.0,10.59
2015-01-07,2.95,3.0,2.8,2.9,2.9,459699.0,13.33
2015-01-08,2.95,3.0,2.9,3.0,2.95,282117.0,8.35
2015-01-09,3.0,3.05,2.9,3.0,2.95,388903.0,11.49
2015-01-12,2.9,3.0,2.9,2.95,3.0,211614.0,6.28
2015-01-13,3.0,3.0,2.85,2.95,2.95,417324.0,12.29
2015-01-14,2.9,2.95,2.65,2.8,2.8,1202521.0,33.94
2015-01-15,2.85,3.05,2.7,2.8,2.8,1345295.0,38.8
2015-01-16,2.75,2.85,2.7,2.75,2.75,1139947.0,31.38
2015-01-19,2.8,2.85,2.65,2.7,2.7,1244757.0,34.14
2015-01-20,2.7,2.75,2.6,2.7,2.65,879704.0,23.48
2015-01-21,2.65,2.7,2.35,2.55,2.5,1341502.0,33.97
