Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2011-06-17,299.9,299.9,263.0,280.1,283.55,15852.0,44.79
2011-06-20,272.0,272.0,262.05,262.05,262.3,504.0,1.37
2011-06-21,258.0,264.7,250.1,259.0,257.5,399.0,1.03
2011-06-22,232.0,267.95,232.0,245.05,245.05,9.0,0.02
2011-06-23,240.05,259.0,240.05,250.0,250.0,95.0,0.23
2011-06-24,240.0,258.8,240.0,257.75,257.75,59.0,0.15
2011-06-27,258.0,281.35,249.0,270.0,271.2,956.0,2.51
2011-06-28,260.05,277.0,256.0,274.95,274.95,223.0,0.6
2011-06-29,278.55,278.9,271.0,272.0,277.45,78.0,0.22
2011-06-30,288.8,302.0,257.0,300.0,299.75,111829.0,320.21
2011-07-01,299.75,299.95,282.75,290.0,290.85,220.0,0.64
2011-07-04,291.0,294.95,291.0,294.95,292.5,260.0,0.76
2011-07-05,288.0,292.0,275.75,275.75,277.2,22.0,0.06
2011-07-06,299.95,299.95,280.95,283.0,283.0,73.0,0.21
2011-07-07,298.0,300.0,275.0,300.0,297.05,602.0,1.76
2011-07-08,281.0,299.95,281.0,287.0,287.75,25313.0,75.16
2011-07-11,281.1,284.95,274.4,275.0,276.0,211.0,0.59
2011-07-12,266.0,279.0,266.0,275.0,275.0,281.0,0.77
2011-07-13,275.0,300.0,275.0,295.5,295.85,29806.0,84.31
2011-07-14,296.0,300.0,295.5,300.0,300.0,1004.0,3.01
2011-07-15,290.05,300.0,290.05,300.0,299.95,31740.0,93.18
2011-07-18,310.0,315.0,304.0,309.0,313.7,3915.0,12.16
2011-07-19,324.0,329.85,315.0,329.85,326.0,2948.0,9.53
2011-07-20,330.4,330.4,317.5,321.0,321.0,1777.0,5.76
2011-07-21,316.05,317.45,302.2,303.0,306.65,25807.0,79.99
2011-07-22,300.9,308.9,297.0,300.0,300.25,705.0,2.11
2011-07-25,301.0,301.0,297.0,300.0,300.0,576.0,1.73
2011-07-26,301.1,301.1,285.0,292.0,289.9,28537.0,83.33
2011-07-27,299.5,300.8,292.0,300.0,300.0,22870.0,67.51
2011-07-28,300.5,300.5,295.0,300.0,300.0,1484.0,4.45
2011-07-29,300.0,300.0,300.0,300.0,300.0,1496.0,4.49
2011-08-01,301.0,308.0,296.0,297.0,297.0,1192.0,3.57
2011-08-02,296.0,304.0,296.0,304.0,298.25,755.0,2.25
2011-08-03,310.0,310.0,295.5,302.0,300.05,3740.0,11.22
2011-08-04,290.0,320.0,287.0,320.0,316.8,1021.0,3.16
2011-08-05,310.0,310.0,295.0,310.0,304.95,3590.0,10.68
