Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-04-30,288.0,309.0,286.0,292.5,294.1,22868893.0,67890.08
2015-05-04,295.35,298.6,280.35,283.35,283.0,2035400.0,5881.21
2015-05-05,283.0,289.85,279.2,288.6,285.55,1427091.0,4060.92
2015-05-06,285.8,292.0,275.75,277.0,279.25,1432505.0,4052.8
2015-05-07,276.75,283.8,273.1,274.3,275.1,836450.0,2318.6
2015-05-08,276.95,283.0,276.95,280.4,281.0,486076.0,1362.48
2015-05-11,282.45,285.0,278.85,279.2,279.95,423633.0,1192.27
2015-05-12,280.0,280.6,261.05,261.75,261.8,399348.0,1070.03
2015-05-13,264.1,272.9,264.0,271.25,269.9,635630.0,1710.52
2015-05-14,271.7,273.9,266.5,273.55,272.2,206959.0,559.14
2015-05-15,274.75,275.55,265.5,267.5,267.55,182416.0,493.76
2015-05-18,268.95,281.0,268.2,279.95,278.65,379421.0,1045.44
2015-05-19,279.7,294.8,275.3,289.5,288.9,1087895.0,3133.7
2015-05-20,290.5,303.4,290.0,301.0,301.25,1585201.0,4744.12
2015-05-21,302.0,303.5,290.8,291.5,292.5,547292.0,1616.44
2015-05-22,293.45,295.4,288.0,289.15,290.3,307189.0,895.5
2015-05-25,290.4,303.0,288.85,296.2,297.2,902993.0,2689.21
2015-05-26,305.0,328.7,299.9,320.75,320.15,3561776.0,11142.54
2015-05-27,315.9,323.6,301.0,305.0,304.8,1527300.0,4774.0
2015-05-28,305.8,320.8,305.4,316.3,317.55,1229267.0,3868.53
2015-05-29,316.15,321.0,307.1,308.0,309.35,627630.0,1972.57
2015-06-01,308.9,312.35,305.6,306.25,306.55,313712.0,967.3
2015-06-02,308.75,313.65,298.5,298.5,301.15,485338.0,1489.06
2015-06-03,301.25,304.75,275.75,285.5,284.75,471672.0,1366.57
2015-06-04,286.45,292.95,280.2,289.75,289.9,354331.0,1017.74
2015-06-05,289.9,299.7,286.2,289.15,290.45,752667.0,2202.9
2015-06-08,291.0,292.95,283.45,284.2,285.3,256736.0,741.68
2015-06-09,285.0,291.65,282.6,291.35,289.8,254115.0,730.84
2015-06-10,289.0,294.3,288.0,288.0,289.45,192384.0,560.48
2015-06-11,290.75,292.3,284.0,285.4,285.4,222135.0,641.58
2015-06-12,284.25,288.0,282.25,285.0,283.25,214550.0,611.56
2015-06-15,283.0,291.75,283.0,291.5,289.95,217439.0,626.68
2015-06-16,290.05,294.35,288.1,293.0,292.85,150693.0,439.17
2015-06-17,293.15,295.9,291.4,293.5,293.7,199630.0,586.61
2015-06-18,294.0,315.5,293.5,313.2,312.1,918950.0,2824.98
2015-06-19,312.1,318.95,305.5,313.8,316.0,689812.0,2167.36
2015-06-22,314.0,320.7,310.6,312.0,312.25,437924.0,1378.01
2015-06-23,313.8,323.4,310.5,316.0,316.85,524583.0,1665.43
2015-06-24,316.5,324.5,308.1,308.3,310.85,361574.0,1148.77
2015-06-25,309.8,315.0,307.4,310.1,309.8,165047.0,514.09
2015-06-26,309.5,315.25,306.5,307.0,307.8,192517.0,598.02
2015-06-29,298.0,304.7,295.0,302.0,302.75,134383.0,403.46
2015-06-30,303.0,309.9,303.0,304.0,306.3,168959.0,518.95
2015-07-01,306.0,313.85,305.3,306.2,306.55,199366.0,616.52
2015-07-02,308.0,318.0,307.0,310.7,313.85,273575.0,853.0
2015-07-03,312.8,324.6,311.55,318.25,320.05,852938.0,2706.2
2015-07-06,315.6,336.8,311.0,331.0,331.0,856472.0,2808.33
2015-07-07,333.5,339.0,329.1,335.5,336.35,561808.0,1883.68
2015-07-08,329.2,333.95,320.0,322.0,322.6,322673.0,1054.46
2015-07-09,323.5,329.65,323.5,327.95,327.4,153708.0,502.11
2015-07-10,330.0,334.0,327.0,328.8,328.2,201039.0,661.89
2015-07-13,328.1,331.75,328.1,330.5,330.25,225623.0,744.85
2015-07-14,331.0,370.85,328.5,352.0,350.9,1574849.0,5528.24
2015-07-15,352.5,361.0,342.6,349.9,348.8,628050.0,2223.66
2015-07-16,350.4,363.0,349.4,353.0,356.05,389819.0,1390.57
2015-07-17,358.0,359.4,346.0,348.0,348.15,296994.0,1042.45
2015-07-20,351.8,364.45,350.2,358.4,358.95,450448.0,1618.04
2015-07-21,360.8,368.0,351.6,355.8,354.2,388656.0,1401.34
2015-07-22,353.9,375.0,353.75,370.0,369.3,578500.0,2122.7
2015-07-23,370.0,373.4,359.75,364.0,364.8,282283.0,1038.26
2015-07-24,364.8,369.0,357.5,364.0,359.8,231020.0,836.83
2015-07-27,360.1,363.75,350.0,361.5,358.4,196662.0,700.46
2015-07-28,358.4,386.7,356.0,380.0,380.25,979550.0,3696.12
2015-07-29,384.6,388.0,369.1,371.55,372.95,753473.0,2847.39
2015-07-30,376.4,388.95,374.2,378.75,378.05,621775.0,2375.02
2015-07-31,380.6,393.0,373.15,390.2,386.4,352405.0,1347.04
2015-08-03,393.45,400.0,387.6,396.0,397.65,376533.0,1486.98
2015-08-04,399.8,399.8,388.1,390.05,392.4,242321.0,950.99
2015-08-05,394.0,395.55,385.15,387.6,387.65,216829.0,847.01
2015-08-06,389.0,389.95,377.25,380.0,379.65,157013.0,600.93
2015-08-07,381.8,390.6,381.05,385.0,382.65,180446.0,696.63
2015-08-10,393.0,406.7,391.45,392.4,394.25,501549.0,1997.46
2015-08-11,399.0,402.9,384.1,397.0,391.65,371834.0,1464.9
2015-08-12,395.7,398.65,377.8,383.3,380.15,235462.0,913.9
2015-08-13,383.5,388.0,365.0,368.0,367.55,224865.0,844.53
2015-08-14,365.5,378.4,352.7,376.0,375.8,515183.0,1892.62
2015-08-17,378.0,386.0,371.0,383.05,382.7,150861.0,574.58
2015-08-18,384.4,391.85,383.5,388.4,387.35,139761.0,541.15
2015-08-19,383.0,394.1,383.0,385.0,385.5,141288.0,547.52
2015-08-20,380.5,389.0,369.5,372.95,372.75,126086.0,476.88
2015-08-21,365.0,373.0,360.0,373.0,370.3,138078.0,506.05
