Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2011-03-16,40.55,43.7,40.55,41.0,41.15,1790.0,0.74
2011-03-17,39.85,40.3,39.35,40.3,40.3,202.0,0.08
2011-03-18,39.0,41.5,39.0,40.0,40.0,599.0,0.24
2011-03-21,39.5,41.3,39.25,39.4,39.4,419.0,0.17
2011-03-22,41.5,42.7,41.5,41.5,41.5,776.0,0.32
2011-03-23,42.65,43.75,41.25,41.8,41.85,703.0,0.3
2011-03-24,43.0,43.7,40.6,43.65,43.65,1379.0,0.59
2011-03-25,43.65,52.4,43.6,52.4,51.75,4667.0,2.35
2011-03-28,52.4,60.0,52.4,59.5,59.1,11215.0,6.25
2011-03-29,59.0,59.5,54.3,57.8,56.4,8683.0,4.93
2011-03-30,55.1,58.0,54.7,54.7,54.7,17570.0,9.8
2011-03-31,54.7,57.0,53.15,56.25,56.25,27004.0,15.02
2011-04-01,54.8,56.7,54.8,54.8,54.8,285.0,0.16
2011-04-04,57.75,57.75,54.6,54.6,55.4,679.0,0.38
2011-04-05,55.1,57.25,55.1,55.15,55.15,186.0,0.1
2011-04-06,54.75,55.3,54.25,54.25,54.25,163.0,0.09
2011-04-07,56.25,56.25,52.45,54.0,53.05,615.0,0.33
2011-04-08,55.8,55.8,52.1,52.15,52.15,567.0,0.3
2011-04-11,50.5,52.95,50.0,50.0,51.0,1995.0,1.02
2011-04-13,50.0,52.3,47.2,51.0,51.0,1031.0,0.52
2011-04-15,52.85,52.85,50.1,50.1,51.25,1052.0,0.54
2011-04-18,50.2,52.0,50.2,51.7,51.7,1474.0,0.76
2011-04-19,50.75,52.8,50.5,51.5,51.65,714.0,0.37
2011-04-20,50.9,53.95,50.9,52.0,51.75,2255.0,1.2
2011-04-21,53.0,53.5,53.0,53.5,53.5,650.0,0.35
2011-04-25,52.1,52.6,52.1,52.6,52.6,21.0,0.01
2011-04-26,53.85,53.85,53.85,53.85,53.85,100.0,0.05
2011-04-27,53.5,53.5,52.1,52.1,52.1,1052.0,0.56
2011-04-28,50.5,53.7,50.5,51.9,51.9,870.0,0.46
2011-04-29,52.0,52.0,52.0,52.0,52.0,225.0,0.12
2011-05-02,47.75,56.9,47.75,56.9,54.9,2560.0,1.4
2011-05-03,51.5,55.0,51.5,53.5,53.5,841.0,0.45
2011-05-04,48.4,58.85,48.4,58.85,57.25,6978.0,3.9
2011-05-05,51.8,63.0,51.8,63.0,62.7,18774.0,11.58
2011-05-06,57.55,67.7,57.55,65.0,64.55,114233.0,73.59
2011-05-09,62.85,66.0,62.85,64.9,64.3,8755.0,5.6
2011-05-10,65.9,66.0,62.8,64.1,64.35,6738.0,4.35
2011-05-11,61.45,62.9,61.2,61.2,61.75,1316.0,0.82
2011-05-12,62.4,62.4,58.0,58.0,58.7,2237.0,1.34
2011-05-13,56.0,58.95,55.15,55.9,56.05,3317.0,1.86
2011-05-16,54.0,54.45,51.0,51.1,51.95,4092.0,2.16
2011-05-17,53.0,62.0,50.6,59.0,59.6,17863.0,10.2
2011-05-18,67.0,67.0,55.25,57.15,56.2,4010.0,2.35
2011-05-19,56.0,58.0,54.15,55.05,54.85,3354.0,1.85
2011-05-20,55.0,57.0,53.2,55.3,55.3,983.0,0.55
2011-05-23,55.3,55.3,54.1,54.1,54.1,4.0,0.0
2011-05-24,53.0,55.0,51.45,52.65,52.65,3092.0,1.62
2011-05-25,56.95,57.9,52.0,52.9,52.9,1853.0,1.0
2011-05-26,52.8,54.0,52.3,54.0,52.55,1693.0,0.9
2011-05-27,51.65,56.8,51.65,55.3,53.6,2330.0,1.26
2011-05-30,54.55,57.5,52.8,57.0,57.0,2719.0,1.52
2011-05-31,56.0,61.0,55.0,59.0,59.0,6321.0,3.76
2011-06-01,56.85,59.0,56.85,58.0,58.0,2006.0,1.17
2011-06-02,60.9,60.9,55.0,56.5,56.6,381.0,0.22
2011-06-03,56.1,56.6,55.0,55.25,55.25,206.0,0.11
2011-06-06,55.0,57.35,54.5,55.55,56.1,1486.0,0.83
2011-06-07,55.15,55.15,55.15,55.15,55.15,217.0,0.12
2011-06-08,57.45,58.1,55.35,57.95,57.7,4039.0,2.32
2011-06-09,57.4,57.8,56.15,56.3,56.3,1027.0,0.59
2011-06-10,55.65,58.95,55.65,58.9,58.25,645.0,0.37
2011-06-13,58.65,63.7,58.65,60.0,61.7,10160.0,6.25
2011-06-14,60.0,62.75,58.8,59.0,59.7,5382.0,3.2
2011-06-15,61.0,62.1,60.3,60.35,60.8,3723.0,2.29
2011-06-16,61.6,62.1,59.8,60.0,60.15,3151.0,1.92
2011-06-17,59.3,59.4,59.3,59.35,59.35,1050.0,0.62
2011-06-20,59.0,60.75,59.0,59.0,59.0,142.0,0.08
2011-06-21,57.3,59.95,57.3,59.95,59.25,1010.0,0.6
2011-06-22,59.9,60.0,59.1,60.0,60.0,1400.0,0.84
2011-06-23,59.0,60.0,57.5,60.0,59.55,3727.0,2.2
2011-06-24,57.75,60.0,57.75,60.0,59.4,906.0,0.54
2011-06-27,59.0,59.0,57.6,58.05,58.05,299.0,0.17
2011-06-28,59.0,61.8,59.0,60.0,60.0,2101.0,1.29
2011-06-29,58.65,59.95,58.65,59.0,59.5,2237.0,1.33
2011-06-30,58.5,58.5,58.5,58.5,58.5,28.0,0.02
2011-07-01,59.0,59.0,56.3,59.0,59.0,126.0,0.07
2011-07-04,59.25,59.25,59.0,59.05,59.05,372.0,0.22
2011-07-05,59.1,60.0,59.0,60.0,60.0,755.0,0.45
2011-07-06,60.9,60.9,59.2,60.3,60.3,389.0,0.23
2011-07-07,59.2,59.3,59.15,59.15,59.15,108.0,0.06
2011-07-11,59.0,59.0,59.0,59.0,59.0,9.0,0.01
2011-07-12,59.0,59.0,58.05,59.0,59.0,312.0,0.18
2011-07-13,59.0,59.0,59.0,59.0,59.0,237.0,0.14
2011-07-14,59.0,59.95,58.05,58.05,58.05,1262.0,0.74
2011-07-15,57.5,59.8,57.5,58.1,58.1,710.0,0.42
2011-07-18,57.0,59.95,57.0,59.95,59.95,1894.0,1.13
2011-07-19,58.8,59.95,58.0,59.25,59.6,3218.0,1.9
2011-07-20,59.5,59.5,58.5,58.5,58.5,610.0,0.36
2011-07-21,57.7,58.1,57.7,58.1,58.1,110.0,0.06
2011-07-22,57.1,59.7,57.1,58.6,58.7,4236.0,2.48
2011-07-25,57.1,59.0,57.1,58.2,58.35,604.0,0.35
2011-07-26,58.1,61.0,58.1,59.1,59.1,779.0,0.46
2011-07-27,57.6,59.6,57.6,59.6,58.45,287.0,0.17
2011-07-28,57.7,57.7,57.7,57.7,57.7,50.0,0.03
2011-07-29,57.15,59.7,57.15,57.8,57.8,524.0,0.3
2011-08-01,57.0,59.0,57.0,57.9,57.9,451.0,0.26
2011-08-02,57.7,58.0,57.7,57.7,57.7,290.0,0.17
2011-08-03,56.1,56.5,56.0,56.5,56.5,774.0,0.44
2011-08-04,55.75,56.95,55.0,56.95,56.95,381.0,0.21
2011-08-05,63.9,63.9,53.1,54.0,54.0,3151.0,1.71
2011-08-08,50.4,54.3,50.05,54.3,54.3,1046.0,0.54
2011-08-09,51.6,53.8,48.15,50.95,50.9,3658.0,1.86
2011-08-10,51.15,54.0,51.15,54.0,54.0,181.0,0.09
2011-08-11,51.9,53.75,51.4,51.4,51.45,2509.0,1.3
2011-08-12,50.7,53.0,50.05,51.8,51.75,4393.0,2.27
2011-08-16,50.05,53.85,48.55,53.85,53.85,195.0,0.1
2011-08-17,54.75,54.75,50.05,52.5,51.3,3401.0,1.79
2011-08-18,50.0,51.45,48.1,48.1,49.75,1529.0,0.76
2011-08-19,48.0,49.0,46.4,49.0,49.0,953.0,0.46
2011-08-22,47.0,52.8,47.0,48.5,48.3,1187.0,0.56
2011-08-23,49.0,50.0,49.0,49.0,49.0,1220.0,0.6
2011-08-24,49.95,49.95,48.0,48.0,48.55,552.0,0.27
2011-08-25,47.6,49.4,47.6,49.4,48.55,314.0,0.15
2011-08-26,47.5,49.8,46.9,49.8,48.4,294.0,0.14
2011-08-29,47.3,49.9,47.3,49.9,49.9,386.0,0.19
2011-08-30,49.9,50.25,48.55,48.7,48.7,236.0,0.12
2011-09-02,53.0,53.1,50.55,52.9,52.9,658.0,0.35
2011-09-05,50.05,53.7,48.5,49.0,49.0,11187.0,5.64
2011-09-07,51.85,51.85,48.1,50.0,50.0,126.0,0.06
2011-09-08,49.0,56.0,48.5,55.0,54.7,778.0,0.42
2011-09-09,59.9,59.9,51.0,52.1,52.1,678.0,0.36
