Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-04-07,447.0,700.0,377.0,496.15,502.9,162174.0,865.42
2010-04-08,499.5,513.95,466.4,467.0,473.25,32622.0,160.77
2010-04-09,470.0,480.0,455.1,474.85,474.55,13716.0,64.7
2010-04-12,498.85,498.95,475.55,476.0,477.3,6771.0,32.56
2010-04-13,475.0,478.0,471.0,471.5,472.7,4048.0,19.19
2010-04-15,470.05,475.15,446.7,456.9,453.7,11547.0,52.99
2010-04-16,442.0,460.0,435.1,447.0,445.75,8044.0,35.72
2010-04-19,435.0,455.55,431.0,451.95,450.1,6150.0,27.49
2010-04-20,454.0,454.15,442.0,450.0,449.85,16435.0,73.77
2010-04-21,445.5,453.9,445.5,446.2,447.15,1599.0,7.19
2010-04-22,451.0,453.75,438.0,438.0,444.35,1861.0,8.29
2010-04-23,441.25,451.9,425.0,430.0,432.05,5273.0,23.03
2010-04-26,432.0,439.75,425.55,425.55,430.45,2215.0,9.58
2010-04-27,428.0,438.0,425.25,430.0,430.3,4125.0,17.75
2010-04-28,416.0,435.9,416.0,430.0,431.85,5813.0,24.93
2010-04-29,430.0,442.0,426.0,441.9,440.5,6908.0,30.3
2010-04-30,436.0,446.5,410.1,414.95,418.9,4711.0,20.2
2010-05-03,420.0,430.0,415.0,420.6,424.2,3927.0,16.67
2010-05-04,420.0,424.9,415.9,420.0,420.2,3289.0,13.8
2010-05-05,382.0,438.0,382.0,438.0,420.8,4392.0,18.38
2010-05-06,428.0,437.9,426.0,426.0,429.45,9013.0,38.8
2010-05-07,432.6,432.6,422.1,423.75,425.1,1373.0,5.89
2010-05-10,412.0,434.8,412.0,428.0,425.8,3303.0,14.06
2010-05-11,425.7,434.8,422.0,430.0,428.1,5343.0,22.89
2010-05-12,418.35,431.4,416.15,430.0,430.3,3811.0,16.3
2010-05-13,426.0,438.0,426.0,435.0,434.35,2252.0,9.74
2010-05-14,430.0,435.0,426.25,432.0,430.6,1552.0,6.67
2010-05-17,425.0,430.0,420.7,422.6,422.8,1706.0,7.26
2010-05-18,419.0,425.0,418.1,418.1,419.85,1220.0,5.15
2010-05-19,424.75,424.75,406.65,408.05,408.8,1499.0,6.18
2010-05-20,405.0,448.9,405.0,429.5,429.0,3636.0,15.44
2010-05-21,401.05,430.0,401.0,414.8,409.25,4547.0,18.95
2010-05-24,414.1,422.0,412.65,419.25,416.35,1371.0,5.72
2010-05-25,410.0,420.0,406.1,417.0,415.35,1860.0,7.7
2010-05-26,421.0,424.0,411.05,419.0,420.95,831.0,3.49
2010-05-27,414.05,419.0,411.65,415.0,417.65,830.0,3.46
2010-05-28,425.0,429.0,412.6,427.0,425.2,3310.0,14.04
2010-05-31,435.0,440.0,425.0,433.85,430.25,4282.0,18.49
2010-06-01,430.0,432.6,419.0,420.0,420.7,3589.0,15.33
2010-06-02,418.15,431.55,418.15,422.15,422.9,958.0,4.09
2010-06-03,421.3,430.9,421.3,423.15,423.4,220.0,0.93
2010-06-04,427.5,427.5,413.55,415.75,416.7,4024.0,16.91
2010-06-07,422.4,422.4,406.5,417.4,413.1,373.0,1.54
2010-06-08,419.75,422.7,410.0,410.15,410.15,1170.0,4.84
2010-06-09,415.0,415.0,410.0,410.1,410.45,437.0,1.8
2010-06-10,418.0,418.0,407.0,412.7,412.9,721.0,2.95
2010-06-11,410.0,418.8,408.55,409.0,409.4,884.0,3.63
2010-06-14,411.35,411.35,398.0,404.0,400.55,4667.0,18.77
2010-06-15,404.0,404.95,398.0,400.0,401.55,3987.0,16.0
2010-06-16,404.0,404.0,396.1,397.0,398.25,4190.0,16.76
2010-06-17,394.0,399.35,392.15,398.0,394.5,2104.0,8.32
2010-06-18,395.0,395.0,387.0,387.0,388.0,2716.0,10.64
2010-06-21,395.0,407.55,394.6,400.0,397.7,9543.0,38.01
2010-06-22,395.0,401.65,393.0,394.0,394.4,7151.0,28.38
2010-06-23,399.45,399.5,387.0,388.2,388.6,8360.0,32.83
2010-06-24,390.3,396.95,388.25,394.95,391.45,7467.0,29.18
2010-06-25,390.3,406.55,383.0,399.55,396.55,3024.0,12.03
2010-06-28,406.55,413.25,396.0,409.75,407.4,1945.0,7.86
2010-06-29,410.0,410.0,402.0,402.0,403.25,2538.0,10.27
2010-06-30,403.25,425.1,400.0,422.95,422.25,9912.0,41.48
2010-07-01,429.95,435.0,415.5,427.15,430.35,6221.0,26.52
2010-07-02,432.8,443.5,428.0,436.25,439.55,12766.0,55.77
2010-07-05,440.0,446.55,437.0,437.0,437.95,4326.0,19.08
2010-07-06,440.2,449.0,433.0,449.0,444.05,6273.0,27.63
2010-07-07,444.0,447.0,430.1,439.0,438.1,2080.0,9.08
2010-07-08,447.4,455.0,435.5,454.0,445.1,9980.0,44.15
2010-07-09,452.4,465.0,441.25,465.0,456.4,11746.0,53.23
2010-07-12,464.0,489.8,456.35,485.0,477.85,15306.0,72.32
2010-07-13,569.9,569.9,488.55,496.95,493.75,44828.0,225.44
2010-07-14,502.0,502.0,485.0,486.95,487.4,3180.0,15.68
2010-07-15,485.0,510.0,475.0,505.0,503.4,13729.0,68.51
2010-07-16,510.0,514.0,493.15,500.2,502.45,6693.0,33.58
2010-07-19,499.0,509.0,477.0,490.0,494.6,4852.0,24.05
2010-07-20,499.1,505.55,487.05,505.0,500.1,6535.0,32.61
2010-07-21,499.5,504.0,494.0,494.0,499.6,2121.0,10.62
2010-07-22,495.65,504.0,491.0,500.0,498.65,7005.0,34.87
2010-07-23,494.05,500.0,490.0,490.0,491.55,2385.0,11.74
2010-07-26,489.9,497.0,485.0,495.0,494.7,5771.0,28.35
2010-07-27,499.0,499.7,492.0,498.8,498.95,9464.0,46.99
2010-07-28,490.0,499.85,490.0,493.8,492.6,8247.0,40.85
2010-07-29,493.5,497.1,487.3,490.0,493.05,12502.0,61.69
2010-07-30,495.0,495.0,487.65,489.0,489.1,17685.0,86.7
2010-08-02,490.0,492.25,485.0,485.25,487.9,11612.0,56.9
2010-08-03,485.0,505.7,484.2,501.0,503.75,22939.0,114.05
2010-08-04,505.0,510.0,498.0,500.0,499.85,9284.0,46.52
2010-08-05,480.0,509.95,480.0,485.05,487.85,26909.0,132.43
2010-08-06,486.25,489.95,479.55,480.0,480.8,12771.0,62.0
2010-08-09,480.0,481.0,470.0,470.05,471.45,16009.0,76.29
2010-08-10,479.85,479.85,456.1,458.0,459.7,15854.0,73.91
2010-08-11,467.9,468.0,438.5,438.5,441.9,22419.0,101.07
2010-08-12,432.0,462.0,432.0,459.7,453.4,20808.0,92.58
2010-08-13,459.7,470.0,448.6,470.0,462.0,26675.0,121.81
2010-08-16,456.0,466.0,453.5,454.15,455.65,12722.0,57.96
2010-08-17,454.15,457.0,445.55,445.55,446.05,16534.0,74.51
2010-08-18,446.2,460.0,440.1,448.0,450.85,17097.0,77.03
2010-08-19,452.1,456.9,441.05,444.0,444.85,22026.0,98.79
2010-08-20,440.0,454.9,432.5,451.1,451.4,51182.0,227.39
2010-08-23,457.0,480.0,457.0,458.7,459.7,35018.0,162.63
2010-08-24,470.0,479.0,450.0,456.0,456.5,13117.0,60.12
2010-08-25,455.0,455.0,421.05,426.0,427.5,30096.0,131.31
2010-08-26,424.3,452.0,420.0,422.0,422.1,81254.0,352.99
2010-08-27,434.0,437.0,411.0,415.0,415.7,15878.0,67.77
2010-08-30,420.0,430.0,397.2,398.5,399.75,19715.0,80.8
2010-08-31,399.05,405.0,388.0,391.5,390.35,8326.0,33.1
2010-09-01,397.0,402.0,389.2,398.9,395.85,5747.0,22.75
2010-09-02,396.2,405.0,393.6,395.0,395.35,5595.0,22.18
2010-09-03,404.9,404.9,392.0,394.2,392.85,10732.0,42.54
2010-09-06,392.5,399.2,388.0,390.0,390.25,14083.0,55.47
2010-09-07,390.0,394.0,375.0,379.0,380.45,16077.0,61.94
