Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2011-09-30,248.8,264.05,232.0,233.15,235.85,21182.0,52.51
2011-10-03,227.6,234.25,227.6,229.5,231.85,529.0,1.22
2011-10-04,225.5,231.95,225.5,231.2,231.2,262.0,0.6
2011-10-05,226.15,230.95,226.0,227.9,226.3,222.0,0.5
2011-10-07,231.0,233.0,224.0,225.0,224.1,10067.0,22.67
2011-10-10,231.95,231.95,222.0,223.0,223.1,5357.0,12.05
2011-10-11,248.0,250.0,220.0,223.0,223.0,3661.0,8.28
2011-10-12,226.0,228.0,223.0,223.0,223.3,3215.0,7.22
2011-10-13,224.1,227.9,220.05,222.5,223.25,2165.0,4.85
2011-10-14,223.0,225.0,223.0,223.0,223.2,1230.0,2.74
2011-10-17,224.0,226.0,223.5,226.0,224.05,1722.0,3.86
2011-10-18,224.05,225.0,223.0,223.9,223.8,1609.0,3.61
2011-10-19,223.95,224.0,221.5,223.0,223.0,710.0,1.58
2011-10-20,223.0,223.75,223.0,223.0,223.0,1175.0,2.62
2011-10-21,223.0,226.0,221.5,224.0,224.0,2348.0,5.27
2011-10-24,224.0,230.0,224.0,230.0,230.0,11.0,0.03
2011-10-25,228.0,228.0,228.0,228.0,228.0,10.0,0.02
2011-10-26,220.0,229.0,220.0,229.0,229.0,205.0,0.46
2011-10-28,232.0,235.0,230.0,234.0,230.15,259.0,0.6
2011-10-31,235.0,238.0,230.0,231.1,233.9,489.0,1.14
2011-11-01,232.05,232.05,232.05,232.05,232.05,50.0,0.12
2011-11-02,231.5,231.5,225.4,228.0,226.85,725.0,1.65
2011-11-03,225.0,229.75,225.0,229.5,225.55,1321.0,2.98
2011-11-04,225.25,233.7,225.25,233.0,228.35,274.0,0.63
2011-11-08,225.5,227.9,224.0,224.0,224.5,4887.0,10.99
2011-11-09,228.9,239.0,227.05,238.5,236.5,1577.0,3.67
2011-11-11,250.0,250.0,236.05,237.0,238.15,49202.0,118.58
2011-11-14,237.05,237.5,222.55,236.85,232.4,4751.0,11.06
2011-11-15,230.0,230.0,223.05,227.0,226.2,2475.0,5.6
2011-11-16,222.0,227.95,222.0,227.95,227.95,42.0,0.09
2011-11-17,240.0,240.0,222.05,225.0,223.4,400.0,0.89
2011-11-18,215.55,222.0,215.55,216.0,216.0,1238.0,2.72
2011-11-21,216.0,219.0,205.05,205.05,206.9,825.0,1.74
2011-11-22,198.0,210.95,197.1,210.95,202.55,3447.0,6.94
2011-11-23,202.25,215.0,200.0,215.0,214.95,1086.0,2.3
2011-11-24,210.05,214.0,210.0,213.9,213.55,460.0,0.97
2011-11-25,205.25,215.0,205.25,206.6,206.6,101.0,0.21
2011-11-28,205.0,215.0,205.0,213.0,213.0,63.0,0.13
2011-11-29,237.0,253.9,237.0,251.9,249.95,53893.0,132.99
2011-11-30,205.0,249.7,205.0,228.25,231.25,3067.0,7.26
2011-12-01,225.3,244.45,225.3,241.0,240.3,5170.0,12.4
2011-12-02,232.0,236.0,232.0,236.0,236.0,511.0,1.2
2011-12-05,231.1,235.2,227.9,234.0,234.4,1411.0,3.25
2011-12-07,227.25,237.3,227.25,230.0,232.3,803.0,1.85
2011-12-08,211.55,243.0,211.55,226.5,226.5,804.0,1.84
2011-12-09,211.05,230.9,211.05,230.0,229.9,2054.0,4.65
2011-12-12,238.0,238.0,217.0,217.0,219.8,4793.0,10.77
2011-12-13,213.2,224.9,212.05,215.0,214.45,2179.0,4.66
2011-12-14,211.7,215.2,210.0,215.0,213.75,2759.0,5.89
2011-12-15,210.0,213.0,210.0,210.05,212.85,637.0,1.34
2011-12-16,203.0,228.3,203.0,225.0,219.95,1185.0,2.56
2011-12-19,197.1,211.0,197.1,210.0,210.85,6916.0,14.57
2011-12-20,211.0,212.9,209.4,210.0,210.05,2096.0,4.4
2011-12-21,219.0,219.0,219.0,219.0,219.0,1.0,0.0
2011-12-22,215.0,220.0,215.0,215.1,215.1,263.0,0.57
2011-12-23,176.0,234.0,176.0,234.0,229.2,329.0,0.73
2011-12-26,223.05,224.5,223.05,223.45,223.45,64.0,0.14
2011-12-27,220.3,240.0,220.3,240.0,239.1,1508.0,3.55
2011-12-28,216.5,238.0,216.5,231.0,231.0,365.0,0.85
2011-12-29,225.0,225.0,225.0,225.0,225.0,1.0,0.0
2011-12-30,223.1,234.2,223.1,234.2,234.2,120.0,0.27
2012-01-02,223.05,235.25,223.05,234.7,234.7,1161.0,2.73
2012-01-03,230.0,240.0,230.0,240.0,238.5,688.0,1.62
2012-01-05,225.1,237.7,225.1,227.1,227.1,126.0,0.29
2012-01-06,235.0,236.85,227.0,236.85,236.85,561.0,1.3
2012-01-09,239.0,239.0,239.0,239.0,239.0,18.0,0.04
2012-01-10,244.0,244.0,240.0,240.0,240.0,365.0,0.88
2012-01-11,240.0,240.0,237.15,240.0,240.0,833.0,2.0
2012-01-12,240.0,241.0,238.2,239.0,239.0,300.0,0.72
2012-01-13,240.1,245.0,240.0,241.8,242.9,368.0,0.89
2012-01-16,235.1,244.0,235.0,244.0,244.0,303.0,0.72
2012-01-17,246.0,246.0,245.0,245.0,245.0,900.0,2.21
2012-01-18,241.1,247.45,239.0,242.5,242.5,254.0,0.61
2012-01-19,236.0,244.0,235.85,244.0,241.9,34.0,0.08
2012-01-20,238.55,238.55,238.5,238.5,238.5,25.0,0.06
2012-01-23,240.0,240.0,236.5,238.95,238.1,311.0,0.74
2012-01-24,230.05,248.1,230.05,233.55,233.55,529.0,1.25
2012-01-25,239.95,239.95,239.95,239.95,239.95,1.0,0.0
2012-01-27,234.25,240.0,234.25,240.0,240.0,55.0,0.13
2012-01-30,237.0,237.0,235.1,237.0,236.85,1171.0,2.77
2012-01-31,232.0,235.0,231.0,235.0,234.35,1123.0,2.62
2012-02-01,244.8,244.8,232.35,235.0,235.0,195.0,0.46
2012-02-02,235.15,239.5,235.05,239.5,239.5,145.0,0.34
2012-02-03,239.5,244.45,239.5,244.45,244.2,130.0,0.31
2012-02-06,235.1,243.9,235.1,238.0,238.0,1784.0,4.29
2012-02-07,235.0,235.95,229.0,231.9,230.0,8809.0,20.29
2012-02-08,258.0,258.0,225.0,226.6,226.6,1352.0,3.09
2012-02-09,207.0,231.9,207.0,225.0,225.85,2172.0,4.91
2012-02-10,209.0,244.0,209.0,223.0,223.35,209.0,0.47
2012-02-13,212.0,229.0,212.0,224.95,225.0,312.0,0.7
2012-02-14,203.25,211.0,194.0,195.0,196.05,10791.0,21.82
2012-02-15,205.0,207.9,200.0,201.0,200.75,2044.0,4.11
2012-02-16,203.95,204.75,201.0,201.0,202.25,793.0,1.61
2012-02-17,205.0,205.0,201.0,201.0,201.3,1344.0,2.72
2012-02-21,192.05,201.0,192.05,201.0,198.25,1124.0,2.22
2012-02-22,200.0,200.0,195.0,195.0,195.35,752.0,1.5
2012-02-23,196.0,196.0,192.6,192.6,192.6,251.0,0.49
2012-02-24,197.0,199.0,197.0,197.5,197.65,317.0,0.63
2012-02-28,186.1,201.75,175.7,201.0,200.8,253.0,0.5
2012-02-29,204.75,206.0,196.2,198.0,197.95,1342.0,2.69
2012-03-02,197.0,201.8,197.0,201.8,201.8,2550.0,5.03
2012-03-05,194.6,197.0,194.35,195.1,195.65,176.0,0.34
2012-03-06,197.0,201.0,195.1,195.1,195.95,60.0,0.12
2012-03-07,195.0,195.0,195.0,195.0,195.0,35.0,0.07
2012-03-09,196.0,196.1,196.0,196.0,196.0,300.0,0.59
2012-03-12,196.0,196.0,190.0,191.9,191.95,2404.0,4.68
2012-03-13,183.0,194.9,183.0,191.35,191.35,1126.0,2.14
2012-03-14,194.95,194.95,192.0,194.95,194.95,53.0,0.1
2012-03-15,192.2,193.8,191.0,193.8,193.75,75.0,0.14
2012-03-16,193.9,193.9,189.0,193.0,193.0,30.0,0.06
2012-03-20,188.0,188.0,188.0,188.0,188.0,50.0,0.09
2012-03-21,188.0,190.0,184.95,185.0,185.0,152.0,0.28
2012-03-22,180.05,188.55,180.0,188.4,186.0,203.0,0.37
2012-03-23,182.1,186.1,182.1,186.1,186.1,60.0,0.11
2012-03-26,186.1,186.1,186.0,186.1,186.1,23.0,0.04
2012-03-27,184.1,184.1,184.0,184.0,184.0,122.0,0.22
2012-03-28,186.0,186.0,186.0,186.0,186.0,180.0,0.33
2012-03-29,180.0,184.45,180.0,180.2,180.25,305.0,0.55
2012-03-30,180.0,184.0,180.0,181.25,182.95,629.0,1.14
2012-04-02,195.85,195.85,187.05,194.9,193.35,46.0,0.09
2012-04-03,190.0,190.0,188.1,188.1,188.1,20.0,0.04
2012-04-04,194.85,194.85,188.0,189.0,189.95,149.0,0.28
2012-04-09,194.9,194.9,190.0,190.0,190.0,192.0,0.37
2012-04-10,189.0,189.0,189.0,189.0,189.0,100.0,0.19
2012-04-11,182.2,190.0,182.2,186.15,186.8,230.0,0.43
2012-04-12,185.0,189.95,183.05,184.5,184.55,394.0,0.73
2012-04-16,186.0,186.15,185.15,185.15,185.15,101.0,0.19
2012-04-17,194.5,194.5,194.5,194.5,194.5,4.0,0.01
2012-04-18,185.1,189.8,185.1,189.8,189.8,90.0,0.17
2012-04-19,189.05,191.95,186.0,186.0,186.35,182.0,0.34
2012-04-20,185.4,193.0,181.05,182.5,181.9,1242.0,2.28
2012-04-23,185.0,185.0,181.55,183.0,183.0,63.0,0.11
2012-04-24,189.7,189.7,182.0,185.0,183.1,24.0,0.04
2012-04-25,182.0,182.0,178.6,181.1,181.1,31.0,0.06
2012-04-26,183.0,183.0,183.0,183.0,183.0,15.0,0.03
2012-04-27,183.0,183.0,183.0,183.0,183.0,44.0,0.08
2012-04-30,183.0,183.0,183.0,183.0,183.0,25.0,0.05
2012-05-02,188.0,190.0,181.0,188.9,184.9,355.0,0.66
2012-05-03,189.9,189.9,189.9,189.9,189.9,26.0,0.05
2012-05-04,185.0,185.0,166.0,179.0,178.5,3958.0,6.93
2012-05-07,175.0,186.85,163.05,183.65,178.1,2400.0,4.14
2012-05-08,175.0,180.0,172.35,180.0,180.0,339.0,0.6
2012-05-09,174.0,176.0,174.0,176.0,176.0,11.0,0.02
2012-05-10,175.0,175.0,172.5,172.5,172.7,23.0,0.04
2012-05-11,165.0,175.0,165.0,175.0,175.0,154.0,0.27
2012-05-14,170.0,170.0,165.0,170.0,170.0,63.0,0.11
2012-05-15,170.0,172.9,169.75,172.9,171.75,1682.0,2.86
2012-05-16,170.0,172.9,169.6,172.65,170.05,2306.0,3.93
2012-05-17,172.8,172.8,169.5,170.0,170.0,420.0,0.71
2012-05-18,170.0,170.0,169.9,170.0,170.0,111.0,0.19
2012-05-21,167.05,167.2,160.65,165.55,165.55,169.0,0.28
2012-05-22,165.0,170.05,163.5,163.5,163.7,1672.0,2.76
2012-05-23,155.5,166.65,155.5,160.05,160.05,100.0,0.16
2012-05-24,160.1,160.1,158.0,160.0,159.85,478.0,0.76
2012-05-25,155.65,158.0,152.0,152.0,154.35,1682.0,2.58
2012-05-28,140.1,165.0,135.6,157.0,157.05,999.0,1.57
2012-05-29,160.0,165.0,160.0,163.95,162.2,498.0,0.81
2012-05-30,155.0,168.0,155.0,161.1,167.7,1158.0,1.86
2012-05-31,155.5,168.5,150.0,159.5,159.5,854.0,1.35
2012-06-01,167.9,167.9,155.0,156.0,156.0,275.0,0.44
2012-06-04,150.05,156.95,146.0,153.0,153.35,1791.0,2.67
2012-06-05,153.0,153.0,148.0,150.0,150.6,44.0,0.07
2012-06-06,151.0,151.0,151.0,151.0,151.0,28.0,0.04
2012-06-08,144.25,151.0,144.25,151.0,151.0,29.0,0.04
2012-06-11,150.0,151.0,148.0,151.0,151.0,266.0,0.4
2012-06-13,166.0,166.0,148.0,152.95,152.95,240.0,0.38
2012-06-14,148.05,151.85,146.2,146.2,147.7,785.0,1.17
2012-06-15,147.05,147.15,147.0,147.1,147.1,85.0,0.12
2012-06-18,146.05,150.0,145.1,145.2,145.35,1511.0,2.26
2012-06-19,145.05,145.05,145.05,145.05,145.05,21.0,0.03
2012-06-20,146.05,146.2,145.1,145.15,145.15,300.0,0.44
2012-06-21,147.05,149.5,145.6,145.6,149.45,1725.0,2.58
2012-06-22,152.0,152.0,151.8,151.8,151.8,11.0,0.02
