Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2004-01-01,,,,700.44,,
2004-01-02,,,,746.65,,
2004-01-05,,,,764.66,,
2004-01-06,,,,739.87,,
2004-01-07,,,,737.1,,
2004-01-08,,,,762.28,,
2004-01-09,,,,752.21,,
2004-01-12,,,,726.03,,
2004-01-13,,,,719.83,,
2004-01-14,,,,707.87,,
2004-01-15,,,,708.46,,
2004-01-16,,,,680.81,,
2004-01-19,,,,692.96,,
2004-01-20,,,,671.21,,
2004-01-21,,,,619.85,,
2004-01-22,,,,604.04,,
2004-01-23,,,,650.07,,
2004-01-27,,,,679.23,,
2004-01-28,,,,664.95,,
2004-01-29,,,,661.39,,
2004-01-30,,,,640.38,,
2004-02-03,,,,603.38,,
2004-02-04,,,,623.81,,
2004-02-05,,,,625.88,,
2004-02-06,,,,647.34,,
2004-02-09,,,,657.72,,
2004-02-10,,,,662.25,,
2004-02-11,,,,664.85,,
2004-02-12,,,,659.41,,
2004-02-13,,,,663.67,,
2004-02-16,,,,658.15,,
2004-02-17,,,,656.89,,
2004-02-18,,,,672.41,,
2004-02-19,,,,660.68,,
2004-02-20,,,,654.74,,
2004-02-23,,,,629.38,,
2004-02-24,,,,624.81,,
2004-02-25,,,,598.76,,
2004-02-26,,,,598.23,,
2004-02-27,,,,613.1,,
2004-03-01,,,,633.39,,
2004-03-03,,,,636.11,,
2004-03-04,,,,638.35,,
2004-03-05,,,,664.16,,
2004-03-08,,,,702.37,,
2004-03-09,,,,698.41,,
2004-03-10,,,,696.4,,
2004-03-11,,,,683.7,,
2004-03-12,,,,676.27,,
2004-03-15,,,,654.16,,
2004-03-16,,,,656.44,,
2004-03-17,,,,657.63,,
2004-03-18,,,,652.59,,
2004-03-19,,,,653.61,,
2004-03-22,,,,640.53,,
2004-03-23,,,,634.43,,
2004-03-24,,,,635.21,,
2004-03-25,,,,637.33,,
2004-03-26,,,,645.81,,
2004-03-29,,,,655.48,,
2004-03-30,,,,656.2,,
2004-03-31,,,,666.38,,
2004-04-01,,,,676.31,,
2004-04-02,,,,695.06,,
2004-04-05,,,,693.89,,
2004-04-06,,,,692.32,,
2004-04-07,,,,692.93,,
2004-04-08,,,,708.54,,
2004-04-12,,,,711.85,,
2004-04-13,,,,722.83,,
2004-04-15,,,,726.6,,
2004-04-16,,,,727.94,,
2004-04-17,,,,725.4,,
2004-04-19,,,,706.1,,
2004-04-20,,,,706.98,,
2004-04-21,,,,718.95,,
2004-04-22,,,,728.7,,
2004-04-23,,,,729.9,,
2004-04-27,,,,701.95,,
2004-04-28,,,,692.6,,
2004-04-29,,,,695.37,,
2004-04-30,,,,686.42,,
2004-05-03,,,,668.7,,
2004-05-04,,,,680.97,,
2004-05-05,,,,690.99,,
2004-05-06,,,,702.08,,
2004-05-07,,,,697.03,,
2004-05-10,,,,680.05,,
2004-05-11,,,,643.2,,
2004-05-12,,,,650.81,,
2004-05-13,,,,632.81,,
2004-05-14,,,,539.04,,
2004-05-17,,,,461.82,,
2004-05-18,,,,511.55,,
2004-05-19,,,,546.7,,
2004-05-20,,,,539.77,,
2004-05-21,,,,544.93,,
2004-05-24,,,,548.06,,
2004-05-25,,,,544.39,,
2004-05-26,,,,548.74,,
2004-05-27,,,,538.78,,
2004-05-28,,,,507.0,,
2004-05-31,,,,490.23,,
2004-06-01,,,,506.36,,
2004-06-02,,,,521.35,,
2004-06-03,,,,511.38,,
2004-06-04,,,,529.14,,
2004-06-07,,,,536.92,,
2004-06-08,,,,539.69,,
2004-06-09,,,,542.97,,
2004-06-10,,,,541.25,,
2004-06-11,,,,529.62,,
2004-06-14,,,,520.93,,
2004-06-15,,,,526.17,,
2004-06-16,,,,528.58,,
2004-06-17,,,,532.67,,
2004-06-18,,,,523.72,,
2004-06-21,,,,520.69,,
2004-06-22,,,,513.92,,
2004-06-23,,,,498.49,,
2004-06-24,,,,503.0,,
2004-06-25,,,,510.61,,
2004-06-28,,,,518.33,,
2004-06-29,,,,524.38,,
2004-06-30,,,,517.94,,
2004-07-01,,,,529.76,,
2004-07-02,,,,528.51,,
2004-07-05,,,,520.58,,
2004-07-06,,,,531.05,,
2004-07-07,,,,541.38,,
2004-07-08,,,,522.56,,
2004-07-09,,,,537.44,,
2004-07-12,,,,536.56,,
2004-07-13,,,,531.2,,
2004-07-14,,,,519.98,,
2004-07-15,,,,527.64,,
2004-07-16,,,,542.17,,
2004-07-19,,,,550.63,,
2004-07-20,,,,547.36,,
2004-07-21,,,,558.85,,
2004-07-22,,,,561.31,,
2004-07-23,,,,559.17,,
2004-07-26,,,,571.24,,
2004-07-27,,,,566.6,,
2004-07-28,,,,560.98,,
2004-07-29,,,,581.18,,
2004-07-30,,,,582.72,,
2004-08-02,,,,592.73,,
2004-08-03,,,,585.86,,
2004-08-04,,,,587.17,,
2004-08-05,,,,593.63,,
2004-08-06,,,,579.9,,
2004-08-09,,,,577.77,,
2004-08-10,,,,579.31,,
2004-08-11,,,,567.95,,
2004-08-12,,,,563.76,,
2004-08-13,,,,568.08,,
2004-08-16,,,,563.68,,
2004-08-17,,,,561.39,,
2004-08-18,,,,559.01,,
2004-08-19,,,,564.85,,
2004-08-20,,,,559.62,,
2004-08-23,,,,553.06,,
2004-08-24,,,,558.29,,
2004-08-25,,,,565.47,,
2004-08-26,,,,573.17,,
2004-08-27,,,,584.39,,
2004-08-30,,,,587.85,,
2004-08-31,,,,589.27,,
2004-09-01,,,,590.76,,
2004-09-02,,,,584.75,,
2004-09-03,,,,582.64,,
2004-09-06,,,,588.69,,
2004-09-07,,,,591.51,,
2004-09-08,,,,593.02,,
2004-09-09,,,,591.83,,
2004-09-10,,,,593.32,,
2004-09-13,,,,593.93,,
2004-09-14,,,,601.07,,
2004-09-15,,,,601.38,,
2004-09-16,,,,609.39,,
2004-09-17,,,,619.74,,
2004-09-20,,,,624.25,,
2004-09-21,,,,634.31,,
2004-09-22,,,,635.91,,
2004-09-23,,,,623.45,,
2004-09-24,,,,622.67,,
2004-09-27,,,,621.62,,
2004-09-28,,,,615.51,,
2004-09-29,,,,627.32,,
2004-09-30,,,,629.55,,
2004-10-01,,,,638.22,,
2004-10-04,,,,645.97,,
2004-10-05,,,,655.61,,
2004-10-06,,,,649.79,,
2004-10-07,,,,648.44,,
2004-10-08,,,,648.01,,
2004-10-09,,,,652.51,,
2004-10-11,,,,642.68,,
2004-10-12,,,,629.45,,
2004-10-14,,,,636.89,,
2004-10-15,,,,644.52,,
2004-10-18,,,,634.43,,
2004-10-19,,,,642.31,,
2004-10-20,,,,638.98,,
2004-10-21,,,,639.96,,
2004-10-25,,,,625.26,,
2004-10-26,,,,628.37,,
2004-10-27,,,,632.84,,
2004-10-28,,,,640.23,,
2004-10-29,,,,635.35,,
2004-11-01,,,,644.11,,
2004-11-02,,,,651.04,,
2004-11-03,,,,657.28,,
2004-11-04,,,,657.62,,
2004-11-05,,,,672.6,,
2004-11-08,,,,673.64,,
2004-11-09,,,,668.07,,
2004-11-10,,,,676.87,,
2004-11-11,,,,667.21,,
2004-11-12,,,,669.43,,
2004-11-16,,,,662.23,,
2004-11-17,,,,663.9,,
2004-11-18,,,,660.69,,
2004-11-19,,,,653.83,,
2004-11-22,,,,649.9,,
2004-11-23,,,,661.23,,
2004-11-24,,,,667.82,,
2004-11-25,,,,663.4,,
2004-11-29,,,,675.73,,
2004-11-30,,,,674.24,,
2004-12-01,,,,678.52,,
2004-12-02,,,,704.63,,
2004-12-03,,,,705.67,,
2004-12-06,,,,707.7,,
2004-12-07,,,,714.5,,
2004-12-08,,,,714.02,,
2004-12-09,,,,718.41,,
2004-12-10,,,,714.35,,
2004-12-13,,,,727.18,,
2004-12-14,,,,735.75,,
2004-12-15,,,,734.53,,
2004-12-16,,,,736.8,,
2004-12-17,,,,737.17,,
2004-12-20,,,,743.41,,
2004-12-21,,,,750.16,,
2004-12-22,,,,745.55,,
2004-12-23,,,,744.66,,
2004-12-24,,,,748.15,,
2004-12-27,,,,741.76,,
2004-12-28,,,,742.13,,
2004-12-29,,,,740.36,,
2004-12-30,,,,736.38,,
2004-12-31,,,,739.2,,
2005-01-03,,,,759.04,,
2005-01-04,,,,759.73,,
2005-01-05,,,,729.52,,
2005-01-06,,,,719.72,,
2005-01-07,,,,722.62,,
2005-01-10,,,,714.68,,
2005-01-11,,,,700.86,,
2005-01-12,,,,686.01,,
2005-01-13,,,,696.02,,
2005-01-14,,,,685.11,,
2005-01-17,,,,678.58,,
2005-01-18,,,,680.78,,
2005-01-19,,,,675.25,,
2005-01-20,,,,671.97,,
2005-01-24,,,,669.28,,
2005-01-25,,,,675.2,,
2005-01-27,,,,679.55,,
2005-01-28,,,,686.51,,
2005-01-31,,,,704.86,,
2005-02-01,,,,714.7,,
2005-02-02,,,,712.63,,
2005-02-03,,,,720.24,,
2005-02-04,,,,714.16,,
2005-02-07,,,,711.07,,
2005-02-08,,,,719.6,,
2005-02-09,,,,728.27,,
2005-02-10,,,,732.4,,
2005-02-11,,,,735.0,,
2005-02-14,,,,741.57,,
2005-02-15,,,,743.92,,
2005-02-16,,,,737.22,,
2005-02-17,,,,734.73,,
2005-02-18,,,,732.39,,
2005-02-21,,,,727.64,,
2005-02-22,,,,731.84,,
2005-02-23,,,,729.52,,
2005-02-24,,,,731.1,,
2005-02-25,,,,747.81,,
2005-02-28,,,,748.54,,
2005-03-01,,,,738.33,,
2005-03-02,,,,737.68,,
2005-03-03,,,,756.54,,
2005-03-04,,,,765.33,,
2005-03-07,,,,766.79,,
2005-03-08,,,,768.99,,
2005-03-09,,,,767.12,,
2005-03-10,,,,772.7,,
2005-03-11,,,,766.4,,
2005-03-14,,,,759.01,,
2005-03-15,,,,755.75,,
2005-03-16,,,,752.6,,
2005-03-17,,,,743.86,,
2005-03-18,,,,741.82,,
2005-03-21,,,,735.67,,
2005-03-22,,,,725.97,,
2005-03-23,,,,700.66,,
2005-03-24,,,,696.17,,
2005-03-28,,,,699.8,,
2005-03-29,,,,684.81,,
2005-03-30,,,,685.75,,
2005-03-31,,,,702.62,,
2005-04-01,,,,714.44,,
2005-04-04,,,,717.57,,
2005-04-05,,,,718.25,,
