Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-03-30,49.0,57.3,49.0,55.5,55.0,59509.0,32.41
2015-03-31,56.7,58.5,55.0,56.95,55.95,137591.0,77.41
2015-04-01,57.4,57.4,54.15,56.2,55.7,148767.0,82.95
2015-04-06,57.25,66.8,56.5,62.75,63.7,308258.0,196.08
2015-04-07,63.95,72.0,63.0,69.0,69.45,281312.0,190.04
2015-04-08,70.2,73.0,64.4,70.0,70.05,608437.0,412.33
2015-04-09,72.45,81.45,72.45,79.5,79.7,1390034.0,1085.91
2015-04-10,80.6,82.8,77.6,78.95,79.2,432915.0,344.62
2015-04-13,79.65,79.65,74.35,76.65,77.25,206972.0,159.39
2015-04-15,77.0,79.7,75.95,77.0,77.3,178758.0,138.6
2015-04-16,78.5,79.45,73.1,73.75,74.25,122946.0,92.77
2015-04-17,75.0,76.85,72.6,74.0,73.8,101631.0,75.82
2015-04-20,74.9,75.0,68.25,69.0,69.0,82563.0,58.53
2015-04-21,67.1,72.8,67.1,68.75,68.75,84727.0,59.36
2015-04-22,69.2,70.95,66.1,68.5,68.4,112900.0,76.89
2015-04-23,68.5,71.95,67.0,67.0,67.3,121348.0,84.45
2015-04-24,68.65,68.65,60.6,63.6,61.9,113839.0,72.11
2015-04-27,62.4,63.45,55.75,55.75,55.75,68078.0,39.0
2015-04-28,53.95,53.95,53.0,53.0,53.0,211703.0,112.36
2015-04-29,50.5,55.65,50.45,55.65,55.65,193482.0,106.43
2015-04-30,56.7,58.4,55.4,58.4,58.4,140155.0,80.51
2015-05-04,61.25,61.3,59.5,61.3,61.3,139961.0,85.55
2015-05-05,63.4,64.35,62.3,64.35,64.35,143267.0,91.39
2015-05-06,65.0,67.0,61.15,61.15,61.15,178130.0,111.78
2015-05-07,62.5,62.5,58.1,58.1,58.1,48515.0,28.64
2015-05-08,59.05,61.0,56.1,57.55,58.85,107900.0,64.4
2015-05-11,60.0,60.9,57.6,58.25,58.7,77032.0,45.81
2015-05-12,59.0,59.85,55.9,56.6,56.25,37780.0,21.47
2015-05-13,58.8,58.8,55.1,57.6,57.4,48717.0,27.88
2015-05-14,56.05,58.8,56.0,56.5,56.9,52919.0,30.24
2015-05-15,56.1,57.55,54.1,54.9,55.7,141919.0,78.57
2015-05-18,56.5,58.45,55.65,58.45,58.45,64287.0,36.86
2015-05-19,60.7,60.8,56.25,57.95,57.3,74942.0,43.94
2015-05-20,57.0,58.95,56.55,57.8,57.35,47296.0,27.2
2015-05-21,56.4,58.2,55.1,57.65,57.75,30524.0,17.35
2015-05-22,58.1,58.85,57.15,57.8,57.75,36635.0,21.23
2015-05-25,60.6,60.6,60.5,60.6,60.6,75138.0,45.53
2015-05-26,63.6,63.6,63.6,63.6,63.6,13214.0,8.4
2015-05-27,66.75,66.75,60.5,66.75,66.75,523287.0,346.33
2015-05-28,70.05,70.05,68.55,70.05,70.05,185134.0,129.48
2015-05-29,73.55,73.55,73.55,73.55,73.55,19375.0,14.25
2015-06-01,77.2,77.2,77.2,77.2,77.2,19852.0,15.33
2015-06-02,81.05,81.05,74.25,76.95,76.35,1435235.0,1151.89
2015-06-03,76.0,76.05,72.55,72.55,72.55,80361.0,59.01
2015-06-04,69.55,76.15,69.0,76.15,76.15,265781.0,195.86
2015-06-05,77.3,79.0,75.2,76.35,76.75,229032.0,177.8
2015-06-08,76.05,80.0,75.55,76.0,76.05,89698.0,69.99
2015-07-07,82.0,84.85,81.0,82.7,82.15,101054.0,84.41
2015-07-08,80.15,81.0,78.3,78.85,79.1,47411.0,37.76
2015-07-09,79.1,83.05,79.1,83.05,83.05,220206.0,182.33
2015-07-10,83.0,85.9,80.2,81.0,81.25,64930.0,53.43
2015-07-13,82.0,82.85,79.5,81.0,81.0,66385.0,53.84
2015-07-14,81.05,85.05,80.55,84.75,84.65,332139.0,280.82
2015-07-15,82.2,88.85,82.2,88.3,88.3,359221.0,316.74
2015-07-16,89.8,92.7,88.5,92.7,92.7,345833.0,317.85
2015-07-17,94.9,97.3,94.05,97.3,97.3,255975.0,247.74
2015-07-20,98.9,101.0,92.5,94.0,94.55,281938.0,270.99
2015-07-21,90.75,99.25,90.75,93.0,93.1,264219.0,258.11
2015-07-22,91.0,97.75,91.0,97.75,97.65,329897.0,320.5
2015-07-23,98.85,101.25,95.0,96.0,96.75,155703.0,152.43
2015-07-24,96.0,100.85,94.85,97.75,96.7,131527.0,128.12
2015-07-27,92.1,98.8,92.1,94.0,94.0,72134.0,68.4
2015-07-28,94.1,96.25,89.3,90.0,89.95,157140.0,145.1
2015-07-29,90.5,94.4,86.2,94.4,94.4,219915.0,204.03
2015-07-30,97.25,97.25,92.35,92.5,92.95,120841.0,113.63
