Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2014-04-01,235.0,243.0,235.0,243.0,243.0,50201.0,121.97
2014-04-02,210.0,249.0,210.0,230.0,230.0,217.0,0.49
2014-04-03,248.0,248.0,244.0,244.0,244.0,20010.0,48.82
2014-04-04,247.0,247.0,247.0,247.0,247.0,20000.0,49.4
2014-04-07,249.0,249.0,232.95,243.0,243.0,40675.0,97.36
2014-04-09,236.0,242.0,206.25,242.0,242.0,25304.0,61.2
2014-04-10,288.0,288.0,230.0,235.0,241.85,20480.0,49.49
2014-04-11,245.0,245.0,234.0,234.05,237.0,35711.0,86.26
2014-04-15,237.0,250.0,232.5,240.0,239.55,38206.0,91.23
2014-04-16,233.05,239.0,233.0,239.0,238.05,36088.0,85.81
2014-04-17,239.0,240.0,233.5,240.0,239.3,30009.0,71.76
2014-04-21,235.0,263.0,231.5,240.0,238.25,41640.0,99.08
2014-04-22,233.0,240.0,231.5,232.0,239.15,43217.0,103.12
2014-04-23,238.95,238.95,228.0,237.0,237.0,41568.0,97.99
2014-04-25,231.0,239.0,226.0,239.0,238.95,43151.0,102.54
2014-04-28,231.0,236.0,210.0,228.3,234.95,44624.0,104.61
2014-04-29,227.0,249.75,221.95,225.05,231.35,45309.0,104.76
2014-04-30,224.4,232.1,215.5,215.5,215.95,31063.0,71.03
2014-05-02,225.0,235.0,205.0,220.0,220.0,10371.0,22.82
2014-05-05,225.0,225.0,207.7,216.0,214.0,30023.0,64.25
2014-05-06,208.0,216.0,208.0,215.0,215.0,20014.0,43.23
2014-05-07,210.0,217.0,206.2,214.0,214.0,48065.0,102.86
2014-05-08,213.9,214.0,213.8,214.0,214.0,32030.0,68.54
2014-05-09,209.0,216.0,208.6,216.0,215.3,30017.0,63.94
2014-05-12,220.0,220.0,213.0,214.0,214.0,20009.0,42.82
2014-05-13,214.0,216.0,202.0,210.15,214.65,37075.0,79.13
2014-05-14,208.0,213.0,171.75,192.0,208.3,14828.0,30.89
2014-05-15,199.0,209.0,199.0,208.0,204.95,10975.0,22.81
2014-05-16,206.0,221.0,181.25,221.0,216.5,15571.0,33.89
2014-05-19,215.0,218.0,210.0,212.2,212.2,21361.0,46.55
2014-05-20,212.2,221.0,205.05,214.2,214.9,213.0,0.46
2014-05-21,210.0,210.0,207.0,207.0,208.5,2.0,0.0
2014-05-22,250.0,250.0,212.1,220.0,220.0,652.0,1.43
2014-05-23,220.5,248.0,220.5,245.0,235.45,291.0,0.69
2014-05-26,250.0,275.0,240.0,256.7,256.7,1506.0,3.83
2014-05-27,250.0,256.65,220.0,227.55,228.55,1311.0,3.05
2014-05-28,269.6,269.6,225.0,226.95,226.95,208.0,0.47
2014-05-29,240.0,240.0,206.6,218.0,214.1,2390.0,5.23
2014-05-30,220.0,224.0,212.0,217.0,217.0,470.0,1.01
2014-06-02,212.0,218.9,210.0,211.0,212.25,440.0,0.94
2014-06-03,212.0,217.0,211.0,216.95,214.95,271.0,0.58
2014-06-04,214.0,224.0,212.3,212.3,212.3,142.0,0.31
2014-06-05,215.0,215.0,212.0,212.5,212.5,206.0,0.44
2014-06-06,224.0,229.0,206.0,220.0,212.6,215.0,0.46
2014-06-09,228.85,229.0,213.0,220.0,220.0,151.0,0.34
2014-06-10,236.0,240.0,228.5,228.5,228.9,949.0,2.19
2014-06-11,230.0,244.0,223.0,223.0,223.0,525.0,1.2
2014-06-12,220.25,239.75,220.25,235.0,237.15,1332.0,3.12
2014-06-13,235.2,236.1,226.0,236.0,236.0,26.0,0.06
2014-06-16,226.05,236.0,226.05,236.0,236.0,248.0,0.57
2014-06-17,225.25,234.95,225.25,226.2,230.55,4124.0,9.5
2014-06-18,230.0,240.0,229.0,237.8,234.6,641.0,1.51
2014-06-19,230.05,240.0,230.0,230.5,230.5,388.0,0.9
2014-06-20,231.05,239.95,231.0,231.0,231.0,2529.0,5.95
2014-06-23,229.0,235.35,222.0,235.35,234.9,370.0,0.85
2014-06-24,235.0,244.0,235.0,244.0,243.05,671.0,1.59
2014-06-25,239.8,239.8,232.6,239.0,238.45,136.0,0.32
2014-06-26,233.1,233.1,233.1,233.1,233.1,1.0,0.0
2014-06-27,226.0,244.75,226.0,232.8,232.8,49.0,0.11
2014-06-30,230.0,233.4,230.0,230.1,230.1,49.0,0.11
2014-07-01,230.0,230.0,226.25,226.25,226.25,100.0,0.23
2014-07-02,230.1,234.5,230.1,230.1,230.1,50.0,0.12
2014-07-03,232.0,232.0,232.0,232.0,232.0,101.0,0.23
2014-07-04,232.0,233.0,232.0,233.0,232.5,2.0,0.0
2014-07-07,230.5,230.5,226.5,230.0,229.8,82.0,0.19
2014-07-08,229.9,229.9,221.5,221.5,221.5,177.0,0.41
2014-07-09,221.5,221.5,215.8,215.8,215.8,51.0,0.11
2014-07-10,215.05,215.05,215.05,215.05,215.05,1.0,0.0
2014-07-11,225.0,225.0,225.0,225.0,225.0,7.0,0.02
2014-07-14,236.0,239.0,225.0,225.1,225.1,63.0,0.14
2014-07-15,226.0,226.0,221.15,225.0,225.0,228.0,0.51
2014-07-16,225.0,228.95,220.5,220.5,220.5,103.0,0.23
2014-07-17,222.0,228.0,222.0,222.4,222.4,205.0,0.46
2014-07-18,227.0,227.0,222.8,222.8,222.8,50.0,0.11
2014-07-21,224.0,224.0,211.25,215.0,216.0,541.0,1.19
2014-07-22,215.5,219.0,215.5,218.0,218.1,111.0,0.24
2014-07-23,220.0,225.8,218.1,221.0,221.05,21283.0,47.19
2014-07-24,221.1,223.0,212.25,215.0,213.0,22006.0,48.34
2014-07-25,217.4,222.0,206.05,207.9,212.2,22420.0,48.35
2014-07-28,215.0,221.8,210.0,219.0,217.8,22251.0,47.71
2014-07-30,218.25,218.85,209.1,210.0,210.9,21210.0,45.18
2014-07-31,214.5,217.9,210.0,216.0,214.3,21471.0,45.85
2014-08-01,214.5,217.7,206.05,206.05,209.05,22156.0,46.93
2014-08-04,211.5,217.95,211.0,213.05,213.05,21290.0,45.36
2014-08-05,212.5,217.7,207.05,207.05,209.7,21742.0,46.1
2014-08-06,212.5,220.0,206.35,219.95,215.2,21796.0,46.52
2014-08-07,220.0,220.0,212.0,215.0,214.15,20941.0,44.77
2014-08-08,215.6,219.0,206.05,219.0,209.65,20742.0,44.18
2014-08-11,213.5,216.0,209.0,211.0,210.0,20780.0,44.23
2014-08-12,211.5,230.0,206.05,214.1,216.95,23630.0,51.92
2014-08-13,215.5,229.95,214.0,214.1,215.55,22799.0,49.62
2014-08-14,214.5,218.8,210.1,210.1,211.2,21868.0,47.19
2014-08-18,211.5,215.0,206.4,206.4,208.7,20750.0,44.23
2014-08-19,211.5,218.85,205.5,210.0,209.95,21053.0,44.5
2014-08-20,212.5,212.5,209.0,209.0,209.0,20741.0,43.67
2014-08-21,209.5,213.4,206.1,213.4,211.15,20845.0,43.5
2014-08-22,211.5,211.5,200.3,204.25,205.7,21541.0,44.72
2014-08-25,206.5,211.8,200.7,203.0,205.25,21079.0,43.25
2014-08-26,238.95,238.95,196.1,196.1,199.7,22123.0,45.09
2014-08-27,200.0,204.7,191.05,199.0,198.9,21465.0,42.56
2014-08-28,198.5,200.0,191.05,200.0,199.5,21287.0,41.72
2014-09-01,199.4,203.9,191.5,203.9,197.25,20962.0,41.23
2014-09-02,198.5,204.75,197.0,197.0,197.6,22869.0,45.48
2014-09-03,198.5,200.05,187.0,194.0,192.1,22022.0,43.24
2014-09-04,194.5,196.85,190.5,191.1,191.1,21206.0,41.0
